lugar_clean,lat,lon,matched_address
Fortaleza-CE,-3.7932167,-38.5280359,"Fortaleza, Ceará, Região Nordeste, Brasil"
RECIFE/PE,-8.0584933,-34.8848193,"Recife, Pernambuco, Região Nordeste, Brasil"
Limeira/SP,-22.5615068,-47.401766,"Limeira, São Paulo, Região Sudeste, Brasil"
Curitiba - Paraná,-25.4295963,-49.2712724,"Curitiba, Paraná, Região Sul, Brasil"
Viamão/RS,-30.0819338,-51.0261927,"Viamão, Rio Grande do Sul, Região Sul, Brasil"
Recife/PE,-8.0584933,-34.8848193,"Recife, Pernambuco, Região Nordeste, Brasil"
Fortaleza,-3.7932167,-38.5280359,"Fortaleza, Ceará, Região Nordeste, Brasil"
Betim/MG,-19.9703184,-44.206495,"Betim, Minas Gerais, Região Sudeste, Brasil"
São José dos Campos/SP,-23.1867782,-45.8854538,"São José dos Campos, Eugênio de Melo, São Paulo, Região Sudeste, Brasil"
Toledo/PR,-24.7222438,-53.7402476,"Toledo, Paraná, Região Sul, Brasil"
Santarém/Pará,-2.438489,-54.699611,"Santarém, Pará, Região Norte, Brasil"
Santarém - Pará,-2.438489,-54.699611,"Santarém, Pará, Região Norte, Brasil"
Ijuí/RS,-28.3878734,-53.9201692,"Ijuí, Rio Grande do Sul, Região Sul, 98700-000, Brasil"
"Fortaleza, ce",-3.7932167,-38.5280359,"Fortaleza, Ceará, Região Nordeste, Brasil"
Niterói/RJ,-22.8884,-43.1147,"Niterói, Rio de Janeiro, Região Sudeste, Brasil"
Gravataí/RS,-29.9440222,-50.9930938,"Gravataí, Rio Grande do Sul, Região Sul, Brasil"
Florianópolis/SC,-27.5973002,-48.5496098,"Florianópolis, Santa Catarina, Região Sul, Brasil"
Pinhais/PR,-25.4443488,-49.1900307,"Pinhais, Paraná, Região Sul, Brasil"
Goiânia/GO,-16.680882,-49.2532691,"Goiânia, Goiás, Região Centro-Oeste, Brasil"
Campos dos Goytacazes/RJ,-21.7546,-41.3242,"Campos dos Goytacazes, Rio de Janeiro, Região Sudeste, Brasil"
Rio de Janeiro / RJ,-22.9110137,-43.2093727,"Rio de Janeiro, Região Sudeste, Brasil"
Porto velho/RO,-8.7494525,-63.8735438,"Porto Velho, Rondônia, Região Norte, Brasil"
Campina Grande/PB,-7.2246743,-35.8771292,"Campina Grande, Paraíba, Região Nordeste, Brasil"
Belém/PA,-1.45056,-48.4682453,"Belém, Pará, Região Norte, Brasil"
Brasília/DF,-15.7754462,-47.7970891,"Distrito Federal, Região Centro-Oeste, Brasil"
Lauro de Freitas/BA,-12.89242,-38.3127691,"Lauro de Freitas, Bahia, Região Nordeste, Brasil"
Passa Quatro/MG,-22.390283,-44.9669696,"Passa Quatro, Minas Gerais, Região Sudeste, 37460-000, Brasil"
Glória do Goitá/PE,-7.999959,-35.2866116,"Glória do Goitá, Pernambuco, Região Nordeste, Brasil"
Betim - MG,-19.9703184,-44.206495,"Betim, Minas Gerais, Região Sudeste, Brasil"
Araraquara/SP,-21.7886713,-48.1773096,"Araraquara, São Paulo, Região Sudeste, Brasil"
Floresta/PR,-23.6144046,-52.0819003,"Floresta, Paraná, Região Sul, 87120-000, Brasil"
Rio Claro/SP,-22.4100108,-47.5603933,"Rio Claro, São Paulo, Região Sudeste, Brasil"
Presidente Prudente/SP,-22.1225167,-51.3882528,"Presidente Prudente, São Paulo, Região Sudeste, Brasil"
Santa Maria/RS,-29.6860512,-53.8069214,"Santa Maria, Rio Grande do Sul, Região Sul, Brasil"
Salvador/BA,-12.9822499,-38.4812772,"Salvador, Bahia, Região Nordeste, Brasil"
Rio de Janeiro/RJ,-22.9110137,-43.2093727,"Rio de Janeiro, Região Sudeste, Brasil"
João Pessoa/PB,-7.1215981,-34.882028,"João Pessoa, Paraíba, Região Nordeste, Brasil"
Holambra - SP,-22.6332028,-47.0545305,"Holambra, São Paulo, Região Sudeste, Brasil"
Timbó/SC,-26.8282737,-49.270641,"Timbó, Santa Catarina, Região Sul, 89120-000, Brasil"
Campos dos goytacazes/RJ,-21.7546,-41.3242,"Campos dos Goytacazes, Rio de Janeiro, Região Sudeste, Brasil"
São Luís / MA,-2.5295265,-44.2963942,"São Luís, Maranhão, Região Nordeste, Brasil"
São Paulo/SP,-21.2283556,-50.4370715,"New York Tower, Rua Doutor Francisco Aguiar Ribeiro, Saudade, Araçatuba, São Paulo, Região Sudeste, 16018-000, Brasil"
São José do Rio Preto/SP,-20.8125851,-49.3804212,"São José do Rio Preto, São Paulo, Região Sudeste, Brasil"
Penedo/AL,-10.2872341,-36.5819262,"Penedo, Alagoas, Região Nordeste, Brasil"
Maringá/PR,-23.2064992,-45.8948505,"Praça Maringá, Jardim Maringá, São José dos Campos, São Paulo, Região Sudeste, Brasil"
Cuiabá/MT,-15.5958886,-56.1130717,"Clínica Santa Maria - Cuiabá MT, 131, Rua das Papoulas, Jardim Cuiabá, Cuiabá, Mato Grosso, Região Centro-Oeste, 78043-138, Brasil"
São Paulo,-23.5506507,-46.6333824,"São Paulo, Região Sudeste, Brasil"
Sobral/CE,-3.8565437,-40.0438895,"Sobral, Ceará, Região Nordeste, Brasil"
São Bernardo do Campo/SP,-23.7080345,-46.5506747,"São Bernardo do Campo, São Paulo, Região Sudeste, Brasil"
Caxias/MA,-4.8654201,-43.353664,"Caxias, Maranhão, Região Nordeste, Brasil"
"Três Corações, MG",-21.695625,-45.2543675,"Três Corações, Minas Gerais, Região Sudeste, 37410-000, Brasil"
Minas - Pouso Alegre,-22.2343858,-45.9327241,"Pouso Alegre, Minas Gerais, Região Sudeste, Brasil"
Santo André/SP,-23.6533509,-46.5279039,"Santo André, São Paulo, Região Sudeste, Brasil"
Niterói RJ,-22.8884,-43.1147,"Niterói, Rio de Janeiro, Região Sudeste, Brasil"
